state,avg_rainfall_mm,river_level_m,elevation_m,distance_to_river_km,drainage_quality,soil_type,past_flood_events,flood_risk
Benue,327.5,5.43,86.2,16.22,Fair,Clay,0,Low
Lagos,271.1,7.41,116.2,21.2,Good,Loamy,0,Low
Rivers,136.5,2.0,364.4,9.83,Poor,Clay,1,Low
Anambra,133.4,1.93,202.1,13.86,Fair,Sandy,1,Low
Benue,168.6,4.13,109.1,19.43,Fair,Clay,1,Low
Delta,414.3,8.74,240.2,2.21,Fair,Clay,2,Low
Jigawa,269.0,10.45,82.3,21.48,Fair,Clay,1,Medium
Benue,343.6,7.37,31.6,4.01,Poor,Clay,2,Medium
Rivers,188.6,7.09,10.3,21.63,Poor,Sandy,1,Low
Anambra,213.1,5.72,380.7,7.85,Fair,Loamy,3,Low
Lagos,100.2,3.2,290.4,8.24,Good,Sandy,4,Low
Rivers,118.5,2.74,320.4,1.94,Good,Sandy,5,Low
Rivers,380.9,9.49,392.4,22.16,Good,Loamy,5,Low
Jigawa,283.9,11.24,372.8,4.45,Good,Sandy,0,Low
Niger,185.0,6.31,295.3,15.79,Poor,Loamy,3,Medium
Anambra,371.1,8.42,278.2,16.13,Poor,Loamy,4,Medium
Bayelsa,148.6,11.1,136.1,7.1,Good,Clay,5,Medium
Rivers,440.4,2.45,43.4,24.64,Poor,Sandy,5,Medium
Niger,187.9,9.59,230.3,1.7,Good,Loamy,2,Low
Bayelsa,184.9,7.98,231.3,15.24,Fair,Sandy,0,Low
Anambra,174.8,7.79,381.0,12.04,Fair,Sandy,2,Low
Kogi,98.8,4.57,178.1,6.21,Good,Loamy,2,Low
Delta,94.5,8.68,276.9,4.17,Poor,Clay,0,Medium
Niger,309.2,9.85,230.8,18.45,Good,Loamy,4,Low
Kwara,400.0,2.69,72.4,22.92,Poor,Clay,0,Medium
Kogi,366.2,7.1,237.6,2.78,Fair,Loamy,1,Low
Delta,106.4,2.56,217.0,4.93,Poor,Loamy,2,Low
Jigawa,268.2,10.66,198.6,24.66,Good,Clay,1,Low
Benue,92.2,6.83,206.3,0.47,Fair,Clay,0,Low
Lagos,68.1,9.98,67.3,12.76,Fair,Sandy,0,Low
Kwara,312.6,5.36,186.5,12.95,Poor,Loamy,5,Low
Jigawa,264.1,2.81,243.1,6.65,Fair,Sandy,4,Low
Anambra,82.8,1.94,196.8,16.61,Fair,Sandy,2,Low
Jigawa,64.0,4.46,196.5,23.63,Poor,Clay,3,Medium
Benue,445.9,4.06,32.9,11.31,Fair,Clay,0,Low
Anambra,62.0,7.38,77.9,18.76,Good,Sandy,5,Low
Kwara,227.8,1.73,129.7,16.19,Poor,Clay,3,High
Benue,251.8,6.97,168.9,11.88,Poor,Loamy,2,Low
Bayelsa,96.9,5.61,238.4,1.34,Poor,Clay,1,Medium
Lagos,117.6,7.56,345.6,18.57,Poor,Clay,2,High
Kwara,190.7,8.88,65.3,9.14,Good,Loamy,4,Medium
Bayelsa,354.7,8.16,8.0,5.69,Poor,Clay,3,High
Delta,252.8,11.84,180.8,23.71,Good,Sandy,5,Low
Kwara,305.2,2.95,174.0,19.36,Poor,Sandy,3,Low
Delta,444.1,6.01,221.7,24.06,Poor,Sandy,1,Low
Anambra,357.2,5.96,333.6,6.48,Fair,Clay,5,Medium
Bayelsa,223.7,5.88,321.3,20.91,Fair,Clay,1,Low
Lagos,228.6,8.47,41.8,15.23,Good,Clay,0,Low
Benue,297.5,6.64,373.7,24.54,Fair,Sandy,2,Low
Rivers,316.1,6.93,45.9,23.66,Poor,Clay,4,Medium
Jigawa,250.3,6.04,254.6,24.33,Good,Loamy,0,Low
Kogi,307.9,11.91,269.6,23.8,Fair,Clay,2,Medium
Lagos,59.4,11.24,272.6,0.29,Poor,Sandy,1,Low
Bayelsa,221.8,4.73,107.6,18.55,Fair,Loamy,4,Medium
Rivers,161.6,2.67,133.5,6.87,Fair,Loamy,1,Medium
Lagos,101.7,10.32,220.4,17.66,Fair,Sandy,5,Low
Bayelsa,89.8,11.97,81.4,24.52,Fair,Loamy,1,Low
Niger,291.3,4.57,10.1,1.08,Poor,Loamy,3,High
Niger,259.4,5.26,225.7,14.22,Fair,Loamy,2,Low
Delta,151.4,11.39,187.2,18.4,Good,Loamy,0,Low
Lagos,238.4,8.97,263.4,6.41,Good,Loamy,3,Low
Niger,246.9,4.6,60.4,5.71,Fair,Clay,5,High
Bayelsa,128.0,7.6,336.7,1.6,Good,Sandy,2,Low
Delta,310.8,11.41,60.2,2.44,Fair,Sandy,5,Medium
Bayelsa,362.4,10.02,356.8,16.45,Poor,Clay,2,Medium
Delta,366.6,9.29,180.9,12.68,Poor,Clay,2,High
Lagos,291.0,9.24,220.8,0.85,Good,Sandy,4,Low
Rivers,254.7,3.37,358.8,24.24,Good,Sandy,3,Low
Benue,74.4,10.16,121.4,16.44,Fair,Clay,0,Medium
Kwara,165.1,4.4,74.4,12.94,Fair,Clay,3,Medium
Rivers,87.3,11.27,179.4,6.89,Fair,Loamy,5,Medium
Anambra,435.5,5.33,99.3,16.49,Poor,Clay,1,Medium
Bayelsa,104.0,10.51,212.1,9.17,Fair,Clay,5,High
Anambra,110.7,4.3,111.6,17.59,Poor,Loamy,2,Medium
Rivers,405.8,6.9,346.1,17.1,Good,Loamy,1,Low
Delta,427.6,2.62,243.7,2.41,Poor,Sandy,3,Low
Kwara,356.3,8.43,2.1,22.74,Good,Sandy,0,Medium
Kwara,52.2,10.28,322.6,12.23,Poor,Clay,1,Medium
Kogi,50.5,9.04,133.4,9.88,Poor,Loamy,1,Medium
Kwara,201.2,6.99,129.4,23.89,Fair,Loamy,4,Low
Benue,107.4,1.97,154.5,11.01,Good,Sandy,3,Low
Kwara,57.4,11.3,252.8,18.06,Poor,Sandy,1,Low
Rivers,235.6,8.91,177.9,16.41,Poor,Clay,3,Medium
Kogi,427.2,9.33,252.2,4.21,Good,Loamy,0,Low
Rivers,179.5,9.84,60.4,24.78,Poor,Sandy,1,Medium
Rivers,314.5,9.35,388.1,11.64,Good,Clay,0,Low
Jigawa,310.9,6.13,292.4,9.93,Good,Clay,5,Low
Kogi,150.4,9.2,101.6,23.0,Good,Clay,1,Medium
Rivers,310.2,8.06,290.2,13.28,Poor,Sandy,2,Medium
Jigawa,134.9,10.47,230.9,17.66,Poor,Sandy,4,Low
Jigawa,98.8,9.93,45.5,21.17,Fair,Sandy,4,Medium
Kogi,330.6,1.93,72.9,5.96,Good,Sandy,4,Low
Anambra,95.4,5.48,18.4,4.32,Poor,Sandy,0,Low
Delta,448.8,1.86,324.1,1.81,Poor,Loamy,3,Medium
Benue,123.4,2.57,221.6,22.44,Good,Loamy,4,Low
Delta,287.7,7.81,128.1,5.09,Good,Loamy,5,High
Kwara,214.5,10.68,52.3,7.76,Good,Loamy,1,Low
Benue,100.6,2.76,194.7,7.22,Fair,Clay,1,Low
Kwara,61.1,6.24,211.1,7.68,Fair,Clay,2,Low
Rivers,299.1,11.06,281.4,16.73,Fair,Loamy,0,Low
Bayelsa,372.7,10.05,388.0,23.86,Good,Sandy,1,Low
Kogi,386.8,6.96,175.1,8.3,Poor,Loamy,1,Low
Benue,243.1,9.6,163.6,10.25,Good,Loamy,2,Low
Benue,361.0,6.99,149.2,19.3,Poor,Clay,2,Medium
Rivers,319.1,3.16,331.1,10.87,Fair,Sandy,3,Low
Anambra,339.7,2.81,64.2,23.16,Fair,Clay,3,Medium
Jigawa,247.0,3.48,138.8,12.63,Fair,Sandy,3,Low
Rivers,303.4,5.18,290.5,8.76,Poor,Clay,1,Low
Niger,372.2,11.27,8.2,24.29,Poor,Loamy,2,High
Jigawa,209.2,9.9,117.2,10.7,Good,Sandy,5,Medium
Kogi,372.4,6.04,257.3,5.86,Good,Clay,0,Low
Jigawa,286.8,6.68,76.0,4.52,Good,Loamy,3,Low
Anambra,116.4,4.29,122.5,24.88,Fair,Clay,5,Medium
Jigawa,59.9,8.9,195.4,18.85,Good,Clay,4,Low
Kogi,195.1,9.93,170.0,10.28,Fair,Clay,1,Low
Anambra,268.7,4.01,44.2,20.68,Poor,Loamy,0,Low
Delta,385.9,1.94,375.4,13.72,Fair,Sandy,1,Low
Benue,101.0,8.05,19.6,8.0,Fair,Clay,5,High
Benue,370.1,7.41,300.4,18.61,Fair,Loamy,3,Low
Kwara,395.2,5.72,30.4,18.67,Poor,Clay,5,High
Delta,110.3,8.26,188.0,12.55,Poor,Sandy,5,Medium
Delta,390.6,7.28,71.8,1.22,Good,Clay,1,Medium
Jigawa,446.6,4.13,58.2,2.02,Good,Loamy,3,Low
Benue,340.7,5.68,52.1,19.74,Good,Clay,1,Low
Kogi,363.9,6.0,182.2,20.6,Poor,Clay,3,Medium
Lagos,447.8,10.74,207.2,16.99,Poor,Sandy,2,Medium
Lagos,292.2,11.59,55.1,20.99,Poor,Sandy,2,Medium
Anambra,173.2,10.88,391.8,18.02,Poor,Sandy,2,Low
Benue,385.0,9.05,104.6,22.43,Poor,Clay,2,High
Benue,295.8,7.64,184.6,3.84,Fair,Loamy,2,Low
Lagos,282.5,8.74,88.1,9.75,Good,Clay,4,High
Benue,151.5,11.36,198.6,11.66,Fair,Clay,1,Low
Jigawa,352.5,4.12,302.9,7.51,Good,Clay,5,Low
Niger,82.7,7.12,209.4,18.16,Fair,Clay,2,Low
Bayelsa,419.7,8.74,115.7,22.82,Poor,Sandy,4,High
Delta,180.3,8.63,100.9,10.37,Good,Sandy,4,Low
Kwara,101.1,4.15,304.1,23.54,Fair,Sandy,1,Low
Anambra,226.9,7.66,49.1,12.97,Good,Sandy,1,Low
Niger,67.0,9.86,149.2,13.11,Poor,Loamy,3,High
Lagos,323.9,6.49,62.3,15.05,Poor,Clay,3,High
Delta,411.1,9.83,104.7,6.78,Good,Clay,2,Medium
Benue,384.9,5.28,62.8,9.65,Good,Clay,0,Low
Kwara,100.9,11.36,354.9,13.88,Poor,Loamy,3,High
Benue,100.5,7.11,293.3,23.56,Poor,Loamy,0,Low
Kogi,375.4,7.76,225.2,16.1,Poor,Sandy,5,Medium
Kogi,419.7,1.83,91.3,8.39,Fair,Clay,3,Medium
